𪨊 sóng
𪧶 lán
𪧳 lài
𪧭 qīn
𪧬 táo
𪧧 shì
𪧥 fú
𪧝 mì
𪧘 jù,lóu
𪧕 bǎo
𪧒 kè
𪧇 chuáng
𪦳 yáng
𪦧 qí
𪦕 diǎ
𪥸 nāo
𪥰 níng
𪥬 xī
𪥪 qí
𪥠 réng
𪥕 kū
𪥊 mài
𪥅 jiè
𪥂 dāo
𪤯 dūn
𪤝 chǎng
𪤗 liào
𪤉 chéng
𪣻 lóu
𪣩 kěn
𪣚 yàn
𪣗 zhèn
𪢽 fēng
𪢸 wú
𪢮 luán
𪢬 kūn
𪢥 biān
𪢐 lài
𪢋 jià
𪢄 yù
𪡶 yuān
𪡛 hé,xià,xiā
𪡓 kūn
𪡏 zhān
𪡈 bái
𪡇 nǐ
𪡃 mǎi
𪡁 chòng
𪡀 qiáo
𪠸 hù
𪠳 chē
𪠰 zhuì
𪠮 róng
𪠧 qiān
𪠦 bǎn
𪠥 yǒu,yòu
𪠤 dāo
𪠚 lì
𪠑 bó
𪠏 yǎn
𪠁 hé
𪠀 kū
𪟲 gǎn
𪟪 bèi
𪟣 zhuó
𪟝 jì
𪟍 tǒng
𪟋 gè
𪟁 sūn
𪞿 dùn
𪞫 sōu
𪞝 duó
𪞓 shì
𪝙 kē
𪜿 yǎn
𪜺 zhōu
𪜶 yīn
𪜵 qǐ
𪜩 gōu
𪜥 lǐn
𪜆 liǎn
𪜅 shēn
𪜃 gā
𪎉 xiàn
𪉔 pī
𪉓 niǎo
𪉒 bān
𪉍 tū
𪉊 huá
𪉅 chì
𪉃 wén
𪆓 sī
𩾇 hu
𩾄 xùn
𩾂 chóu
𩼔 nián
𩹝 dú
𨵤 xī
𧹕 jū
𧐢 háo
𤱔 mǔ
𤭰 zhòu
𤪞 qióng
𤩽 huán
𤥻 yán
𤣖 fēng
𤠋 lóu
𤙯 láo
𤖟 bò
𤕈 liàn
𤓓 luó
𤓌 rán
𤒘 dǔ
𤒅 jiāo
𤐸 bì
𤏲 zhòu
𤏰 piē
𤋠 yàn
𤋏 lóu
𤈄 jí
𤇾 yíng
𤇮 fá
𤇄 shǎn
𤆶 fén
𤆬 qǔ
𤆕 rěn
𤂑 nóng
𤀠 xī
𣿴 dàng
𣿨 xiè
𣼽 lǎng
𣺽 bài
𣺹 zhān
