䴉	鹮
䴋	𫜅
緩	缓
奐	奂
換	换
喚	唤
渙	涣
煥	焕
瘓	痪
鯇	鲩
鯶	𩽼
黄鍾公	黄锺公
黃	黄
鍠	锽
餭	𫗮
騜	𫘩
鐄	𨱑
鰉	鳇
謊	谎
揮	挥
媈	𫝨
暉	晖
詼	诙
煇	𪸩
輝	辉
噅	𠯠
翬	翚
回覆	回复
迴	回
鮰	𫚔
毀	毁
燬	毁
譭	毁
匯	汇
賄	贿
會	会
滙	汇
彙	汇
誨	诲
薈	荟
殨	㱮
噦	哕
獩	𤞃
諱	讳
澮	浍
璯	㻅
檜	桧
燴	烩
穢	秽
繢	缋
翽	翙
繪	绘
闠	阓
靧	𫖃
葷	荤
閽	阍
㑮	𫝈
堚	𪣒
渾	浑
琿	珲
餛	馄
䮝	𩧰
諢	诨
䫟	𫖲
鍃	锪
鈥	钬
夥	伙
貨	货
禍	祸
㗲	𠵾
膕	腘
㦎	𢛯
獲	获
穫	获
鑊	镬
𨯟	𫔓
飢	饥
𨊻	𨐆
銈	𫓯
賫	赍
嘰	叽
緝	缉
璣	玑
機	机
積	积
錤	𫓹
䕤	𫟕
擊	击
磯	矶
𧝞	䘛
櫅	𪲎
雞	鸡
譏	讥
饑	饥
躋	跻
鷄	鸡
齎	赍
齏	齑
羈	羁
卽	即
級	级
極	极
輯	辑
藉	藉
藉草枕塊	借草枕块
藉詞	借词
藉此	借此
藉代	借代
藉讀	借读
藉端	借端
藉方	借方
藉槁	借槁
藉故	借故
藉卉	借卉
藉機	借机
藉藉	借借
藉據	借据
藉口	借口
藉寇兵	借寇兵
藉甚	借甚
藉手	借手
藉條	借条
藉以	借以
藉由	借由
藉喻	借喻
藉着	借着
藉助	借助
藉箸代籌	借箸代筹
藉資	借资
鶺	鹡
覿	觌
幾	几
魢	鱾
颳	刮
擠	挤
蟣	虮
䍤	𫅅
計	计
計畫	计划
紀	纪
記	记
旣	既
勣	𪟝
跡	迹
際	际
誋	𫍪
薊	蓟
劑	剂
襀	𫌀
鮆	𫚖
覬	觊
濟	济
績	绩
璾	𫞦
檵	𪲛
蹟	迹
鯽	鲫
繫	系
𩥉	𩧱
繼	继
𨣧	𨠨
霽	霁
鱭	鲚
驥	骥
浹	浃
傢	家
傢俱	家具
筴	䇲
鴐	𫛤
鎵	镓
夾	夹
郟	郏
莢	荚
脥	𣍰
𥞵	𥞦
蛺	蛱
餄	饸
鋏	铗
𩛩	𩠃
頰	颊
鵊	𫛥
賈	贾
鉀	钾
檟	槚
價	价
駕	驾
駱	骆
戔	戋
姦	奸
堅	坚
間	间
監	监
箋	笺
蕳	𫈉
樫	㭴
緘	缄
㔋	𪟎
縑	缣
艱	艰
𣝕	𣘷
殲	歼
鰹	鲣
韉	鞯
梘	枧
揀	拣
䅐	𫀨
減	减
筧	笕
戩	戬
𨧜	䦁
儉	俭
撿	捡
錽	𫓸
檢	检
襇	裥
襉	裥
繭	茧
礆	硷
瞼	睑
簡	简
𦢈	𣍨
謭	谫
鹹	咸
鐗	锏
騫	骞
籛	篯
譾	谫
𩟗	𫗚
鹼	碱
見	见
見覆	见复
𤷃	𪽭
漸	渐
賤	贱
踐	践
劍	剑
澗	涧
薦	荐
鍵	键
餞	饯
諫	谏
𧽯	𫎸
濺	溅
艦	舰
鐧	锏
聻	𫆏
鑒	鉴
鑑	鉴
𨰲	𫔃
將	将
漿	浆
薑	姜
殭	僵
螿	螀
繮	缰
韁	缰
鱂	鳉
蔣	蒋
奬	奖
槳	桨
獎	奖
講	讲
絳	绛
醬	酱
𩝽	𫗳
敎	教
膠	胶
澆	浇
憢	𢙒
嬌	娇
鮫	鲛
轇	𫐖
𨶲	𨸋
鐎	𨱓
驕	骄
鷦	鹪
糹	纟
角徵	角徵
絞	绞
腳	脚
僥	侥
鉸	铰
鉸鍊	铰链
餃	饺
撟	挢
矯	矫
蟜	𫊸
䚩	𫌯
譑	𫍤
繳	缴
攪	搅
較	较
轎	轿
階	阶
嚌	哜
癤	疖
訐	讦
䀹	𥅴
傑	杰
結	结
節	节
詰	诘
𦀖	𫄦
潔	洁
𩢴	𩧵
